trade_sequence,price,entropy
1854.0,2.2945,-0.4426584707189983
1861.0,2.2946,-0.4382780462581181
1869.0,2.2947,-0.4333505590071276
1877.0,2.2948,-0.4284659244695313
1887.0,2.2949,-0.4228056823109545
1895.0,2.295,-0.4175985712589924
1909.0,2.2951,-0.409483100718388
1917.0,2.2951,-0.4049743163614048
1937.0,2.2951,-0.3935816083424536
1940.0,2.2951,-0.3922568515604278
2032.0,2.2943,-0.3442399472880892
2041.0,2.2944,-0.3401929825630976
2059.0,2.2945,-0.33041859679075
2069.0,2.2946,-0.3254098152495773
2073.0,2.2947,-0.3233470928278443
2086.0,2.2948,-0.3169933439629817
2097.0,2.2949,-0.3116722346619098
2106.0,2.295,-0.3073490924560288
2112.0,2.2951,-0.304452876139087
2119.0,2.2952,-0.3011208418308729
2130.0,2.2953,-0.2960125151820266
2157.0,2.2954,-0.2839131521718276
2163.0,2.2955,-0.281193621893953
2181.0,2.2956,-0.2733928854517478
2194.0,2.2957,-0.2678244694996803
2214.0,2.2958,-0.259492422703988
2227.0,2.2958,-0.2543424071391876
2247.0,2.2959,-0.2462766657442897
2255.0,2.296,-0.2430851402552719
2278.0,2.2961,-0.2342792805342173
2290.0,2.2962,-0.2297462961995268
2307.0,2.2963,-0.22349730410655
2314.0,2.2964,-0.2209094543456436
2320.0,2.2965,-0.2186988265484614
2328.0,2.2966,-0.2158098308355755
2342.0,2.2967,-0.2108915617912606
2358.0,2.2968,-0.2054063787230963
2378.0,2.2969,-0.1987371178893758
2383.0,2.297,-0.1970395526538305
2400.0,2.2971,-0.1915566610252302
2415.0,2.2972,-0.1868134602179029
2424.0,2.2973,-0.183986247372661
2432.0,2.2974,-0.1815083659949353
2446.0,2.2974,-0.1773628693233603
2459.0,2.2975,-0.1734717078556519
2475.0,2.2976,-0.1688395231887834
2484.0,2.2977,-0.1662515669542463
2500.0,2.2977,-0.1618581037737878
2513.0,2.2977,-0.1583869358342644
2517.0,2.2977,-0.1573069141540858
2537.0,2.2977,-0.1520880825795372
2546.0,2.2978,-0.1497206724292092
2558.0,2.2979,-0.1466453861868443
2566.0,2.2979,-0.1446669575377398
2572.0,2.298,-0.143140364470699
2625.0,2.2978,-0.1308497612033916
2735.0,2.2969,-0.1085593497624455
2780.0,2.2967,-0.1004059398550026
2848.0,2.2963,-0.0891506517380945
2858.0,2.2964,-0.0875423809812066
2866.0,2.2965,-0.0862652647220226
2870.0,2.2966,-0.0856134179575705
2873.0,2.2966,-0.0851602596411985
2879.0,2.2966,-0.0842465062914708
2889.0,2.2966,-0.082780177657201
2918.0,2.2967,-0.078524899071033
2926.0,2.2968,-0.0773700399295731
2938.0,2.2969,-0.0756837177505664
2945.0,2.297,-0.074702573959874
2955.0,2.2971,-0.0733345993455945
2964.0,2.2972,-0.0721332895036521
2971.0,2.2972,-0.0712138743352619
3032.0,2.2969,-0.0638273814259051
3039.0,2.297,-0.0629899718483738
3045.0,2.2971,-0.0622784722064043
3063.0,2.2972,-0.0602341101344095
3071.0,2.2973,-0.059331852898797
3086.0,2.2973,-0.0577223312551003
3094.0,2.2974,-0.0568553410122373
3112.0,2.2975,-0.0549798625282149
3121.0,2.2976,-0.0540522327856577
3130.0,2.2976,-0.05316550721267
3146.0,2.2976,-0.0516167764228164
3157.0,2.2977,-0.0505534539782563
