trade_sequence,price,entropy
1938.0,2.295,-0.3374010858354817
1941.0,2.295,-0.3356936952842581
1967.0,2.2949,-0.3236583638329748
1976.0,2.2948,-0.3194873057742579
1986.0,2.2947,-0.3150276954492142
1996.0,2.2946,-0.3106138343507427
2004.0,2.2945,-0.3071378230224737
2016.0,2.2944,-0.3019341447172729
2023.0,2.2943,-0.2989664127742794
2027.0,2.2942,-0.2973276270964875
2223.0,2.2957,-0.2194763353232156
2442.0,2.2973,-0.1531413313000674
2498.0,2.2976,-0.1393240612928293
2511.0,2.2976,-0.1363258559951331
2515.0,2.2976,-0.1354271741390133
2535.0,2.2976,-0.130938035050889
2563.0,2.2978,-0.1247467717826796
2599.0,2.2979,-0.1172758446155809
2605.0,2.2978,-0.1161258253238481
2613.0,2.2977,-0.1145924942255216
2628.0,2.2977,-0.1116879829811272
2655.0,2.2976,-0.1066473109243786
2674.0,2.2975,-0.1032420756171071
2681.0,2.2974,-0.1020390870895106
2693.0,2.2973,-0.0999767722436528
2701.0,2.2972,-0.0986385919734833
2710.0,2.2971,-0.0971453520430747
2716.0,2.297,-0.0961743460145283
2724.0,2.2969,-0.0948800828518619
2733.0,2.2968,-0.093440437691967
2736.0,2.2968,-0.0929622676939459
2751.0,2.2967,-0.0906208638567239
2766.0,2.2966,-0.0882558523206342
2782.0,2.2966,-0.0858096392960216
2795.0,2.2965,-0.0839042031749479
2808.0,2.2964,-0.0820399844648258
2817.0,2.2963,-0.080770602083944
2824.0,2.2962,-0.0797992260366615
2871.0,2.2965,-0.07330622821559
2874.0,2.2965,-0.0729185108725473
2881.0,2.2965,-0.0720187478809353
2966.0,2.2971,-0.0616559249243442
2976.0,2.2971,-0.0605464048680918
2994.0,2.297,-0.0586198992840674
3004.0,2.2969,-0.0575884709214115
3013.0,2.2968,-0.0566784522411348
3084.0,2.2972,-0.0496980031877783
3127.0,2.2975,-0.045858608437659
3136.0,2.2975,-0.0451054099080563
3177.0,2.2977,-0.0417723814229051
3222.0,2.2981,-0.0383556073746363
3235.0,2.298,-0.0374517529888937
3252.0,2.2981,-0.0362655828806512
3266.0,2.2981,-0.0353279998580678
3302.0,2.2982,-0.0330073613029272
3322.0,2.2983,-0.0317751332177394
3327.0,2.2983,-0.0314778432092796
3389.0,2.2986,-0.0279624269017757
3413.0,2.2985,-0.0267295347392781
3418.0,2.2984,-0.0264885321788747
3445.0,2.2983,-0.0251747279334025
3468.0,2.2983,-0.0240946373194864
3522.0,2.2985,-0.0217109352437941
3569.0,2.2988,-0.0198112514994256
