"symbol","trade_id","price","quantity","buyer_order_id","seller_order_id","is_buyer_market_maker","timestamp"
"XRPUSDT",1.273371589E9,3.1358,25.5,,,false,"2025-07-30T16:51:45.832000Z"
"XRPUSDT",1.27337159E9,3.1358,49.3,,,false,"2025-07-30T16:51:45.832000Z"
"XRPUSDT",1.273371591E9,3.1358,2.0,,,false,"2025-07-30T16:51:45.832000Z"
"XRPUSDT",1.273371592E9,3.1359,1.6,,,false,"2025-07-30T16:51:45.832000Z"
"XRPUSDT",1.273371593E9,3.1359,9.5,,,false,"2025-07-30T16:51:45.832000Z"
"XRPUSDT",1.273371594E9,3.1359,1.4,,,false,"2025-07-30T16:51:45.832000Z"
"XRPUSDT",1.273371595E9,3.1359,0.3,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371596E9,3.1359,2.0,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371597E9,3.1359,2.0,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371598E9,3.1359,2.0,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371599E9,3.1359,2.0,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.2733716E9,3.1359,2.0,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371601E9,3.1359,2.0,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371602E9,3.1359,1.6,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371603E9,3.1359,2.0,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371604E9,3.136,1.6,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371605E9,3.136,5.7,,,false,"2025-07-30T16:51:45.866000Z"
"XRPUSDT",1.273371606E9,3.1359,1.6,,,true,"2025-07-30T16:51:46.092000Z"
"XRPUSDT",1.273371607E9,3.1359,1.7,,,true,"2025-07-30T16:51:46.092000Z"
