trade_sequence,price,entropy
94.0,2.291,-0.0299183165588542
95.0,2.291,-0.030541807940028
97.0,2.2911,-0.0318944581623331
98.0,2.2911,-0.0325334497733449
99.0,2.2911,-0.0331804346949282
100.0,2.2911,-0.0338334829954969
102.0,2.291,-0.0350631584555112
104.0,2.2911,-0.0365063187683017
105.0,2.2911,-0.0371895153798861
106.0,2.2911,-0.0378787020368032
107.0,2.2911,-0.03857386716393
108.0,2.2911,-0.0392749981819037
109.0,2.2911,-0.0399820824093852
110.0,2.2911,-0.0406951070634365
111.0,2.2911,-0.041414059259899
112.0,2.2911,-0.042138926013777
113.0,2.2911,-0.0428696942396212
114.0,2.2911,-0.0436063507519208
115.0,2.2911,-0.0443488822654895
116.0,2.2911,-0.0450972753958594
117.0,2.2911,-0.0458515166596792
119.0,2.2912,-0.0474860077156014
120.0,2.2912,-0.0482584958779036
121.0,2.2912,-0.0490367743872925
122.0,2.2912,-0.0498208292773253
123.0,2.2912,-0.050610646457651
124.0,2.2912,-0.051406211741942
126.0,2.2913,-0.0531290322960033
127.0,2.2913,-0.053942537250153
128.0,2.2913,-0.0547617299773953
129.0,2.2913,-0.0555865958339099
130.0,2.2913,-0.0564171200500191
131.0,2.2913,-0.0572532877631199
132.0,2.2913,-0.058095084018124
133.0,2.2913,-0.0589424937678908
134.0,2.2913,-0.0597955018736732
136.0,2.2914,-0.0616405066090683
137.0,2.2914,-0.062510971975429
138.0,2.2914,-0.0633869714459789
139.0,2.2914,-0.0642684894352086
140.0,2.2914,-0.0651555102485302
142.0,2.2915,-0.0670728173998444
143.0,2.2915,-0.0679769890573884
144.0,2.2915,-0.0688865801936281
145.0,2.2915,-0.0698016077139013
146.0,2.2915,-0.0707220391618664
147.0,2.2915,-0.071647858219091
148.0,2.2915,-0.0725790484821019
149.0,2.2915,-0.0735155934628494
150.0,2.2915,-0.074457476589189
153.0,2.2915,-0.0773149935363249
154.0,2.2915,-0.0782780619162021
155.0,2.2915,-0.0792463843078835
156.0,2.2915,-0.0802200119858759
157.0,2.2915,-0.0811987932590692
158.0,2.2915,-0.0821827771665291
159.0,2.2915,-0.0831719464012367
160.0,2.2915,-0.0841662835769312
161.0,2.2915,-0.0851657712285921
162.0,2.2915,-0.0861703918129508
163.0,2.2915,-0.087182509734519
164.0,2.2915,-0.0882007871781715
165.0,2.2915,-0.0892208682377794
166.0,2.2915,-0.0902460140095314
167.0,2.2915,-0.0912762065885738
168.0,2.2915,-0.0923114279966272
170.0,2.2914,-0.0942447404672448
171.0,2.2914,-0.0952941240898864
172.0,2.2914,-0.0963484668300201
173.0,2.2914,-0.0974077481167385
175.0,2.2915,-0.0996990238198584
176.0,2.2915,-0.1007738940462098
177.0,2.2915,-0.1018536068452605
178.0,2.2915,-0.1029381654481111
179.0,2.2915,-0.1040275510881381
180.0,2.2915,-0.1051217449295996
182.0,2.2916,-0.1074776518878229
183.0,2.2916,-0.1085867706953571
184.0,2.2916,-0.1097005953403126
185.0,2.2916,-0.1108191293016785
186.0,2.2916,-0.1119423533266619
187.0,2.2916,-0.1130702480971345
188.0,2.2916,-0.1142027942301509
189.0,2.2916,-0.11533997227848
190.0,2.2916,-0.1164817627311475
191.0,2.2916,-0.117628146013956
192.0,2.2916,-0.1187791024900307
193.0,2.2916,-0.1199346124603494
194.0,2.2916,-0.1210946561642904
196.0,2.2917,-0.123631907927568
197.0,2.2917,-0.1248070861436022
198.0,2.2917,-0.1259866156470628
199.0,2.2917,-0.127170588287351
200.0,2.2917,-0.1283589840123462
201.0,2.2917,-0.1295517827120971
