trade_id_open,trade_id_close,timestamp_open,timestamp_close,inner_length,total_length,binary_code_str,binary_code_int
1601282210.0,1601282213.0,2026-04-01 18:18:13.418000,2026-04-01 18:18:13.418000,2,4,0000 0010 1000 0000,640
1601282222.0,1601282225.0,2026-04-01 18:18:13.418000,2026-04-01 18:18:15.665000,2,4,0000 0010 1000 0000,640
1601282233.0,1601282236.0,2026-04-01 18:18:15.665000,2026-04-01 18:18:15.672000,2,4,0000 0010 1000 0000,640
1601282243.0,1601282246.0,2026-04-01 18:18:18.872000,2026-04-01 18:18:19.337000,2,4,0000 0010 1000 0000,640
1601282250.0,1601282254.0,2026-04-01 18:18:19.899000,2026-04-01 18:18:25.168000,3,5,0000 0001 0110 1000 0000,5760
1601282267.0,1601282270.0,2026-04-01 18:18:25.687000,2026-04-01 18:18:25.937000,2,4,0000 0010 1000 0000,640
1601282273.0,1601282276.0,2026-04-01 18:18:25.937000,2026-04-01 18:18:28.267000,2,4,0000 0001 0100 0000,320
1601282294.0,1601282298.0,2026-04-01 18:18:29.368000,2026-04-01 18:18:31.040000,3,5,0000 0010 1001 0100 0000,10560
1601282299.0,1601282305.0,2026-04-01 18:18:31.040000,2026-04-01 18:18:35.218000,5,7,0000 0010 1001 0100 0010 1000 0000,2704000
1601282311.0,1601282314.0,2026-04-01 18:18:35.218000,2026-04-01 18:18:36.138000,2,4,0000 0010 1000 0000,640
1601282318.0,1601282321.0,2026-04-01 18:18:38.075000,2026-04-01 18:18:38.349000,2,4,0000 0001 0100 0000,320
1601282338.0,1601282341.0,2026-04-01 18:18:38.443000,2026-04-01 18:18:38.453000,2,4,0000 0001 0100 0000,320
1601282360.0,1601282363.0,2026-04-01 18:18:40.353000,2026-04-01 18:18:40.960000,2,4,0000 0001 0100 0000,320
1601282367.0,1601282370.0,2026-04-01 18:18:42.607000,2026-04-01 18:18:43.288000,2,4,0000 0010 1000 0000,640
